date,lat_bin,lon_bin,flag,geartype,vessel_hours,fishing_hours,mmsi_present
2012-02-01,-4761,-6310,ARG,drifting_longlines,12.599722222222221,12.599722222222221,1
2012-02-01,-4761,-6324,ARG,trawlers,1.6193055555555558,0,1
2012-02-01,-4761,-6336,ARG,trawlers,0.7927777777777778,0,1
2012-02-01,-4761,-6374,ARG,trawlers,0.7959722222222223,0,1
2012-02-01,-4505,-6178,ARG,trawlers,2.3545833333333333,0,1
2012-02-01,-4505,-6195,ARG,trawlers,2.9538888888888888,0,1
2012-02-01,-4760,-6312,ARG,trawlers,3.1872222222222222,0,1
2012-02-01,-4760,-6370,ARG,trawlers,0.81375,0,1
2012-02-01,-4760,-6345,ARG,trawlers,2.1929166666666666,2.1929166666666666,1
2012-02-01,-4760,-6337,ARG,trawlers,3.7930555555555556,3.7930555555555556,1
2012-02-01,-4760,-6322,ARG,trawlers,0.79722222222222217,0,1
2012-02-01,-4760,-6298,ARG,trawlers,4.5555555555555554,0,1
2012-02-01,-4760,-6323,ARG,trawlers,0.79736111111111108,0,1
2012-02-01,-4760,-6356,ARG,trawlers,4.5048611111111114,0,1
2012-02-01,-4760,-6351,ARG,trawlers,0.79833333333333334,0,1
2012-02-01,-4760,-6359,ARG,trawlers,5.6722222222222225,5.6722222222222225,1
2012-02-01,-4760,-6382,ARG,trawlers,3.2023611111111112,0,1
2012-02-01,-4760,-6371,ARG,trawlers,0.79513888888888884,0.79513888888888884,1
2012-02-01,-4760,-6372,ARG,trawlers,3.791666666666667,3.791666666666667,1
2012-02-01,-4760,-6336,ARG,trawlers,0.77888888888888885,0.77888888888888885,1
2012-02-01,-4760,-6346,ARG,trawlers,0.76944444444444438,0.76944444444444438,1
2012-02-01,-4760,-6329,ARG,trawlers,1.5168055555555555,0,1
2012-02-01,-4760,-6358,ARG,trawlers,0.76930555555555546,0.76930555555555546,1
2012-02-01,-4760,-6352,ARG,trawlers,3.787638888888889,0,1
2012-02-01,-4760,-6344,ARG,trawlers,0.84236111111111112,0.84236111111111112,1
2012-02-01,-4760,-6369,ARG,trawlers,0.80305555555555552,0,1
2012-02-01,-4760,-6343,ARG,trawlers,3.2687500000000003,0,1
2012-02-01,-4504,-6180,ARG,trawlers,0.75875,0.75875,1
2012-02-01,-4504,-6181,ARG,trawlers,0.85694444444444451,0.85694444444444451,1
2012-02-01,-4504,-6166,ARG,trawlers,0.75777777777777777,0.75777777777777777,1
2012-02-01,-4504,-6194,ARG,trawlers,1.5566666666666666,1.5566666666666666,1
2012-02-01,-3992,-6163,ARG,squid_jigger,0.77208333333333334,0,1
2012-02-01,-4759,-6328,ARG,trawlers,0.78055555555555556,0.78055555555555556,1
2012-02-01,-4759,-6337,ARG,drifting_longlines,4.5597222222222227,0,1
2012-02-01,-4759,-6327,ARG,drifting_longlines,0.78902777777777777,0,1
2012-02-01,-4759,-6326,ARG,drifting_longlines,0.8225,0,1
2012-02-01,-4759,-6327,ARG,trawlers,0.7775,0.7775,1
