spp,id,x,y,dit,nBoats,effort,month
B,S590,-121.5,26.5,1.12E-06,0,0,12
B,S590,-121.5,25.5,0.000792873,0,0,12
B,S590,-120.5,24.5,1.12E-06,0,0,12
B,S590,-120.5,23.5,0.000792873,0,0,12
B,S590,-119.5,23.5,1.12E-06,0,0,12
B,S590,-119.5,22.5,0.000792873,0,0,12
B,S590,-119.5,21.5,1.12E-06,0,0,12
C,S376,-91.5,0.5,1.12E-06,0,0,1
C,S376,-91.5,-0.5,1.12E-06,0,0,1
C,S376,-91.5,-0.5,0.000792873,0,0,2
C,S370,-93.5,2.5,1.12E-06,0,0,7
C,S370,-93.5,1.5,0.000792873,0,0,7
C,S370,-92.5,1.5,1.12E-06,0,0,7
C,S370,-91.5,1.5,0.000792873,0,0,7
C,S380,-91.5,1.5,1.12E-06,0,0,7
C,S380,-92.5,1.5,1.12E-06,0,0,8
C,S380,-91.5,1.5,0.000792873,0,0,8
C,S380,-92.5,1.5,0.000792873,0,0,9
C,S380,-91.5,1.5,1.12E-06,0,0,9
C,S380,-92.5,1.5,1.12E-06,0,0,10
C,S376,-92.5,1.5,0.000792873,0,0,11
C,S376,-91.5,1.5,1.12E-06,0,0,11
C,S376,-90.5,0.5,0.000792873,0,0,11
C,S380,-93.5,1.5,0.000792873,0,0,11
C,S380,-92.5,1.5,1.12E-06,0,0,11
C,S376,-91.5,1.5,1.12E-06,0,0,12
C,S376,-91.5,0.5,1.12E-06,0,0,12
C,S376,-90.5,0.5,0.000792873,0,0,12
D,S1118,143.5,-11.5,1.12E-06,0,0,1
D,S1118,144.5,-11.5,0.000792873,0,0,1
D,S1118,143.5,-11.5,0.000792873,0,0,2
D,S1118,144.5,-11.5,1.12E-06,0,0,2
D,S1118,143.5,-11.5,0.000792873,0,0,3
D,S1118,144.5,-11.5,1.12E-06,0,0,3
D,S1118,143.5,-11.5,0.000792873,0,0,4
D,S1176,-80.5,19.5,0.000792873,0,0,4
D,S1176,-81.5,18.5,0.000792873,0,0,4
D,S1176,-80.5,18.5,1.12E-06,0,0,4
D,S1118,143.5,-11.5,1.12E-06,0,0,5
D,S1176,-80.5,19.5,0.000792873,0,0,5
D,S1176,-83.5,18.5,0.000792873,0,0,5
D,S1176,-82.5,18.5,0.000792873,0,0,5
D,S1176,-81.5,18.5,1.12E-06,0,0,5
D,S1176,-80.5,18.5,1.12E-06,0,0,5
D,S1118,143.5,-11.5,1.12E-06,0,0,6
D,S1118,143.5,-11.5,0.000792873,0,0,7
D,S1118,143.5,-11.5,1.12E-06,0,0,8
D,S1184,-65.5,32.5,1.12E-06,0,0,9
D,S1184,-65.5,31.5,1.12E-06,0,0,9
D,S1184,-65.5,32.5,1.12E-06,0,0,10
D,S1184,-65.5,31.5,1.12E-06,0,0,10
D,S1118,144.5,-11.5,0.000792873,0,0,12
