ID,CommonName,ScientificName,LENGTH_cm,SEX,TAG_TYPE,TAG_DATE,TAG_LAT,TAG_LONG,DAYS@LIBERTY,FINAL_LAT,FINAL_LONG,CAPTURE (Y/N),REGION
S98,Blue shark,Prionace glauca,240,F,PSAT,21/08/2011,42.32,-28,81,17.53,-28.79,,ATL_N
S99,Blue shark,Prionace glauca,240,F,PSAT,26/08/2011,33.55,-36.47,120,36.32,-39.19,,ATL_N
S100,Blue shark,Prionace glauca,260,F,PSAT,29/06/2010,41.03,-45.3,119,24.02,-45.44,,ATL_N
S101,Blue shark,Prionace glauca,240,F,PSAT,30/06/2010,40.65,-48.77,179,40.53,-35.87,,ATL_N
S102,Blue shark,Prionace glauca,200,M,PSAT,25/06/2010,42.22,-43.98,120,41.59,-32.01,,ATL_N
S103,Blue shark,Prionace glauca,210,M,PSAT,25/06/2010,42.2,-44.02,112,51.03,-30.02,,ATL_N
S104,Blue shark,Prionace glauca,235,M,PSAT,25/06/2010,42.17,-44.13,179,36.93,-55.66,,ATL_N
S105,Blue shark,Prionace glauca,164,M,SPOT,20/08/2010,38.47,-28.6,245,6.22,-15.18,,ATL_N
S106,Blue shark,Prionace glauca,140,M,SPOT,20/08/2010,38.42,-28.6,126,32.41,-31.46,,ATL_N
S107,Blue shark,Prionace glauca,183,M,SPOT,20/08/2010,38.41,-28.6,525,34.39,-45.62,,ATL_N
S108,Blue shark,Prionace glauca,201,F,SPOT,18/05/2012,38.34,-28.58,33,27.5,-29.97,,ATL_N
S109,Blue shark,Prionace glauca,211,M,SPOT,20/08/2010,38.34,-28.58,527,30.13,-32.12,,ATL_N
S110,Blue shark,Prionace glauca,159,M,SPOT,20/08/2010,38.41,-28.6,213,11.15,-37.02,,ATL_N
S111,Blue shark,Prionace glauca,172,M,SPOT,20/08/2010,38.34,-28.58,369,37.7,-28.9,,ATL_N
S112,Blue shark,Prionace glauca,180,M,SPOT,20/08/2010,38.43,-28.6,381,-2.82,-18.13,,ATL_N
S113,Blue shark,Prionace glauca,207,M,SPOT,20/08/2010,38.34,-28.58,199,28.7,-19.5,,ATL_N
S114,Blue shark,Prionace glauca,183,M,SPOT,20/08/2010,38.41,-28.6,116,15.64,-25.64,,ATL_N
S115,Blue shark,Prionace glauca,112,M,PSAT,20/08/2010,38.44,-28.61,175,37.3,-27.96,,ATL_N
S116,Blue shark,Prionace glauca,127,M,PSAT,23/10/2010,38.32,-30.44,28,40.32,-29.26,,ATL_N
S117,Blue shark,Prionace glauca,122,F,PSAT,20/08/2010,38.43,-28.6,102,37.81,-28.01,,ATL_N
S118,Blue shark,Prionace glauca,120,F,PSAT,20/08/2010,38.41,-28.6,161,35.99,-28.61,,ATL_N
S119,Blue shark,Prionace glauca,112,M,PSAT,21/08/2010,38.41,-28.53,271,41.26,-50.22,,ATL_N
S120,Blue shark,Prionace glauca,120,M,PSAT,20/08/2010,38.39,-28.59,276,39.03,-31.5,,ATL_N
S121,Blue shark,Prionace glauca,142,F,SPOT,26/02/2009,38.32,-28.65,27,37.84,-28.91,,ATL_N
S122,Blue shark,Prionace glauca,145,F,SPOT,26/02/2009,38.33,-28.73,953,32.83,-41.06,,ATL_N
S123,Blue shark,Prionace glauca,127,F,SPOT,19/02/2009,38.36,-28.66,878,10.69,-37.91,,ATL_N
S124,Blue shark,Prionace glauca,139,F,SPOT,19/02/2009,38.37,-28.67,617,46.92,-13.16,,ATL_N
S125,Blue shark,Prionace glauca,148,F,SPOT,26/02/2009,38.32,-28.63,91,41.42,-9.59,,ATL_N
S126,Blue shark,Prionace glauca,175,F,SPOT,26/02/2009,38.32,-28.56,225,6.87,-23.95,,ATL_N
S127,Blue shark,Prionace glauca,156,F,PSAT,02/05/2009,39.04,-17.48,123,48.08,-8.16,,ATL_N
